job,automatic_all_skills,total_skill
secretar artistic,0.0,36
director agenție asigurări,0.0,63
regizor artistic/regizoare artistică,0.0,82
intermediar mărfuri,5.0,34
responsabil scenă,5.0,55
analist logistică,5.0,65
manager categorie,10.0,58
administrator grădină zoologică,10.0,57
manager aprovizionare,10.0,99
manager marketing,10.0,109
