cod_cor,denumire_ocupatie,denumire_clean,matched_job,match_score
121130,șef birou analize economice,sef birou analize economice,jurnalist economic,62.22222222222222
132443,șef birou aprovizionare-desfacere,sef birou aprovizionare-desfacere,manager aprovizionare,59.25925925925925
121201,șef birou calificare și recalificare,sef birou calificare si recalificare,lucrator calificat serigrafie,58.46153846153847
132112,șef birou calitate,sef birou calitate,manager calitate,64.70588235294117
142004,șef birou comerț cu ridicata și cu amănuntul,sef birou comert cu ridicata si cu amanuntul,antreprenor comert cu amanuntul,61.33333333333333
121129,șef birou contabilitate,sef birou contabilitate,inginer fiabilitate,57.14285714285714
121310,șef birou corp control,sef birou corp control,asamblor panouri de control,53.06122448979592
133011,șef birou exploatare poștală,sef birou exploatare postala,secretar de stat,54.54545454545454
134913,"șef birou exploatare, coordonare presă","sef birou exploatare, coordonare presa",asistent social coordonare profesionala,57.14285714285714
121128,șef birou financiar,sef birou financiar,director financiar,70.27027027027027
132453,șef birou import-export,sef birou import-export,responsabil import-export,70.83333333333334
132207,șef birou industrie extractivă,sef birou industrie extractiva,inginer industria farmaceutica,60.0
132108,șef birou industrie prelucrătoare,sef birou industrie prelucratoare,lucrator in industria prelucratoare,73.52941176470588
111220,șef birou instituție publică,sef birou institutie publica,manager institutie publica,77.77777777777779
132312,șef birou în construcții,sef birou in constructii,inspector in constructii,75.0
122102,șef birou marketing,sef birou marketing,director marketing,70.27027027027027
121301,"șef birou organizație politică, obștească, umanitară","sef birou organizatie politica, obsteasca, umanitara",agent politie comunitara,50.0
121202,șef birou pensii,sef birou pensii,administrator pensii,55.55555555555556
133012,șef birou radiotelecomunicații,sef birou radiotelecomunicatii,analist telecomunicatii,64.15094339622641
122202,șef birou reclamă publicitară,sef birou reclama publicitara,ofiter relatii publice,54.90196078431373
134914,șef birou redacție,sef birou redactie,designer productie,55.55555555555556
134915,șef birou relații unități presă,sef birou relatii unitati presa,ofiter pentru relatii internationale,56.71641791044776
121209,șef birou resurse umane,sef birou resurse umane,ofiter resurse umane,74.4186046511628
111222,șef birou senatorial,sef birou senatorial,asistent editorial,57.89473684210527
121203,șef birou șomaj,sef birou somaj,casier birou de schimb valutar,53.333333333333336
121906,șef birou/ serviciu administrativ,sef birou/ serviciu administrativ,asistent juridic-administrativ,60.317460317460316
121124,șef birou/ serviciu financiar-contabilitate,sef birou/ serviciu financiar-contabilitate,intermediar servicii financiare,59.45945945945946
132414,șef birou/ serviciu relații internaționale,sef birou/ serviciu relatii internationale,ofiter pentru relatii internationale,71.7948717948718
132415,șef birou/ serviciu transport maritim și fluvial,sef birou/ serviciu transport maritim si fluvial,sofer transport animale vii,53.333333333333336
121123,șef birou/ serviciu/ secție circumscripție financiară,sef birou/ serviciu/ sectie circumscriptie financiara,intermediar servicii financiare,52.38095238095239
143915,șef birou/ stație/ tură meteo aeronautic/ de aerodrom,sef birou/ statie/ tura meteo aeronautic/ de aerodrom,responsabil comunicatii de date aeronautice,52.083333333333336
132111,șef birou tehnic,sef birou tehnic,editor tehnic,68.96551724137932
132305,șef brigadă complexă sau specializată,sef brigada complexa sau specializata,marinar nespecializat,55.172413793103445
132213,șef brigadă exploatare minieră,sef brigada exploatare miniera,sef unitate miniera,65.3061224489796
111221,șef cabinet,sef cabinet,sef santier,63.63636363636363
112030,șef cancelarie,sef cancelarie,sef santier,64.0
515107,șef cantină,sef cantina,sef santier,72.72727272727273
132431,șef cart,sef cart,sef santier,63.1578947368421
122105,șef casă compensație,sef casa compensatie,sef santier,64.51612903225806
421108,șef casierie centrală,sef casierie centrala,casier/casiera,57.14285714285714
134505,șef catedră,sef catedra,sef santier,72.72727272727273
132220,"șef centrală electrică, gaze și apă","sef centrala electrica, gaze si apa",manager centrala electrica,65.57377049180327
133013,șef centrală telefonică,sef centrala telefonica,manager centrala electrica,69.38775510204081
133019,"șef centru (secție, sector) radiodifuziune","sef centru (sectie, sector) radiodifuziune",tehnician radiodofuziune,51.515151515151516
133020,"șef centru (secție, sector) telecomunicații","sef centru (sectie, sector) telecomunicatii",responsabil import-export echipamente electronice si de telecomunicatii,56.14035087719298
133014,șef centru control calitate emisie radiofonică,sef centru control calitate emisie radiofonica,sef unitate miniera de cariera,52.63157894736842
133015,șef centru control calitate emisie televiziune,sef centru control calitate emisie televiziune,tehnician controlul calitatii in industria textila,56.25
133016,șef centru control local comunicații,sef centru control local comunicatii,sef centru de salvare,52.63157894736842
133017,șef centru dirijare zbor,sef centru dirijare zbor,sef centru de salvare,66.66666666666666
143914,șef centru meteo aeronautic,sef centru meteo aeronautic,inspector aeronautica,66.66666666666666
133046,șef Centru Național de Telecomunicații Aeronautice Aviație Civilă,sef centru national de telecomunicatii aeronautice aviatie civila,responsabil comunicatii de date aeronautice,53.70370370370371
143916,șef Centru Național pentru Protecția Meteorologică a Navigației Aeriene,sef centru national pentru protectia meteorologica a navigatiei aeriene,inginer pentru sisteme terestre de navigatie aeriana,55.28455284552846
121208,șef centru perfecționare,sef centru perfectionare,sef centru de salvare,66.66666666666666
