cod_cor,denumire_ocupatie,denumire_clean,matched_job,match_score
263623,muftiu,muftiu,arhitect in domeniul cloud computing,60.00000000000001
265246,muzician jazz,muzician jazz,cioban,68.4
315407,navigator dirijare nonradar,navigator dirijare nonradar,acar,67.5
315405,navigator dirijare radar,navigator dirijare radar,acar,67.5
532106,nămolar,namolar,inginer demolari/inginera demolari,69.23076923076923
441208,oficiant poștă telegrame,oficiant posta telegrame,oficial sportiv,64.28571428571429
243223,ombudsman,ombudsman,barman,60.00000000000001
333909,organizator spectacole,organizator spectacole,organizator de nunti,67.41935483870968
315311,parașutist încercător,parasutist incercator,conservator,66.31578947368422
752310,pastator cutii chibrituri,pastator cutii chibrituri,senator,65.76923076923076
621005,pepinierist,pepinierist,barista,65.45454545454547
352209,pilonist antenist,pilonist antenist,geotehnist,67.5
226926,podiatru,podiatru,aprod,67.5
731808,polierator frânghii,polierator franghii,pompier,69.23076923076923
541201,polițist local,politist local,istoric,64.28571428571429
818906,pompagiu,pompagiu,pompier industrial,69.23076923076923
835005,pontonier feribot,pontonier feribot,gunoier,64.28571428571429
235923,profesor-antrenor,profesor-antrenor,aprod,67.5
722417,rabotor-mortezor roți dințate,rabotor-mortezor roti dintate,fotoreporter,60.00000000000001
722411,rabotor-mortezor universal,rabotor-mortezor universal,gunoier,64.28571428571429
422303,radiotelegrafist,radiotelegrafist,radiolog,69.23076923076923
265409,realizator emisiuni RTV,realizator emisiuni rtv,operator masini gravat,62.22222222222222
333102,recepționer contractări-achiziții,receptioner contractari-achizitii,inginer contracte,68.82352941176471
722418,rectificator dantură caneluri,rectificator dantura caneluri,acar,67.5
722412,rectificator universal,rectificator universal,prefect,65.45454545454547
331309,referent,referent,asistent centru de recreere/asistenta centru de recreere,69.23076923076923
421113,referent operații între sedii,referent operatii intre sedii,prefect,65.45454545454547
753303,remaieur ciorapi,remaieur ciorapi,cioban,62.18181818181819
813206,retușor clișee,retusor clisee,preot,67.5
331305,revizor gestiune,revizor gestiune,regizor de imagine,64.70588235294117
731810,saluzitor frânghii,saluzitor franghii,editor,68.4
