conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code,naceCode
Occupation,http://data.europa.eu/esco/occupation/ea6cd713-94ca-4292-9ba9-ca8a4ec3ed5f,7214,lucrător dezmembrare/lucrătoare dezmembrare,"lucrător dezasamblare
lucrătoare dezasamblare
lucrător dezmembrare
lucrătoare dezmembrare",,released,2024-01-25T09:54:38.927Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Lucrătorii în dezmembrare dezasamblează echipamente industriale, utilaje și clădiri în conformitate cu instrucțiunile șefului echipei. Folosesc utilaje grele și diferite unelte electrice în funcție de sarcină. Reglementările privind siguranța sunt luate întotdeauna în considerare.",7214.1,http://data.europa.eu/ux2/nace2.1/4399
Occupation,http://data.europa.eu/esco/occupation/eaba592d-f3f0-4c7d-b7c0-302b7d0212ce,6221,tehnician sisteme de recirculare în acvacultură,"tehnician sisteme de acvacultură cu recirculare
tehniciană pentru sisteme recirculante de acvacultură
tehnician acvacultură recirculantă
tehniciană acvacultură recirculantă
tehniciană sisteme de acvacultură cu recirculare
tehnician pentru sisteme recirculante de acvacultură",,released,2024-01-23T13:41:06.368Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Tehnicianii de sisteme de recirculare în acvacultură acționează și asigură controlul asupra proceselor de producție a organismelor acvatice în sisteme recirculante terestre, care recurg la procese de reutilizare a apei și acționarea instalațiilor de pompare, de aeraj, de încălzire, de iluminat și de biofiltrare, precum și a sistemelor de alimentare de rezervă.",6221.10,http://data.europa.eu/ux2/nace2.1/032
Occupation,http://data.europa.eu/esco/occupation/eb00745b-9abb-4bd8-8291-aade48af029d,3111,tehnician testarea materialelor,tehnolog rezistența materialelor,,released,2024-01-16T14:24:19.24Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Tehnicienii testarea materialelor de construcții efectuează o varietate de teste pe materii precum soluri, beton, zidărie și asfalt, pentru a verifica conformitatea cu cazurile de utilizare prevăzute și cu specificațiile.",3111.7,http://data.europa.eu/ux2/nace2.1/712
Occupation,http://data.europa.eu/esco/occupation/eb198788-0b99-4583-a7c5-0139ff9f91ad,4212,responsabil cazinou,"administratoare sală de jocuri
administrator sală cazinou
manager cazinou
șef cazinou
administrator sală de jocuri",,released,2024-01-16T15:44:55.8Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Responsabilii de cazinouri supraveghează operațiunile zilnice ale sălilor de jocuri de noroc. Supraveghează personalul, monitorizează zonele de joc, supraveghează serviciile de securitate, se asigură că sunt respectate toate regulile în materie de jocuri de noroc și monitorizează respectarea cerințelor de reglementare, fiind responsabili de punerea în aplicare a obiectivelor operaționale ale societății.",4212.4,http://data.europa.eu/ux2/nace2.1/920
Occupation,http://data.europa.eu/esco/occupation/eb48ccbd-75f2-4799-81be-443034858473,2269,art-terapeut,"dramaterapeut
specialist art-terapie",,released,2024-01-25T10:44:37.919Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Terapeuții prin artă ajută pacienții să depășească dificultăți psihologice și emoționale printr-un proces artistic care reflectă emoții și sentimente, concentrându-se asupra pacienților cu diverse probleme, cum ar fi tulburări psihice, psihologice și comportamentale, pentru a facilita înțelegerea de sine și conștientizarea.",2269.9.2,http://data.europa.eu/ux2/nace2.1/8699
Occupation,http://data.europa.eu/esco/occupation/eb5df714-15ce-4e31-853c-678d2aba568b,8143,operator la ondularea cartonului,"cartonagistă
cartonagist
operatoare mașină pentru producerea cartonului ondulat
operator mașină pentru producerea cartonului ondulat
operator utilaje carton ondulat
confecționer articole hârtie
operatoare utilaj carton ondulat",,released,2024-01-23T10:10:51.086Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Operatorii de la ondularea cartonului manipulează mașini care pliază o foaie de hârtie grea într-un model ondulat și o acoperă pe ambele părți pentru a crea un material ușor și solid prevăzut pentru ambalare.,8143.2,http://data.europa.eu/ux2/nace2.1/1721
Occupation,http://data.europa.eu/esco/occupation/eb64b583-20fe-467f-8e44-8aae263a0139,7313,argintar/argintăreasă,"bijutier metale prețioase
lucrător bijuterii argint
lucrătoare bijuterii argint
aurăreasă
aurar
argintar
argintăreasă
creatoare bijuterii argint
creator bijuterii argint",,released,2024-01-26T15:37:46.598Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Argintarii concep, produc și comercializează bijuterii. De asemenea, adaptează, repară și evaluează pietrele prețioase și bijuteriile. Argintarii sunt specializați în prelucrarea argintului și a altor metale prețioase.",7313.1.8,"http://data.europa.eu/ux2/nace2.1/3212,
http://data.europa.eu/ux2/nace2.1/4777"
Occupation,http://data.europa.eu/esco/occupation/eb6e7100-446f-407c-a764-2d65f3ffc7eb,3324,comerciant en-gros utilaje și echipamente agricole,"angrosist utilaje și echipamente agricole
angrosistă utilaje și echipamente agricole",,released,2024-01-24T15:47:09.3Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Comerciantii en-gros de utilaje și echipamente agricole identifică potențialii cumpărători și furnizori angro și răspund nevoilor acestora. Încheie tranzacții care implică cantități mari de bunuri.,3324.4.1,http://data.europa.eu/ux2/nace2.1/4661
Occupation,http://data.europa.eu/esco/occupation/eb6efbb9-9216-4e86-bc3b-de2223cd4667,2250,medic veterinar generalist,"medici veterinari generalisti
veterinar pentru animale de companie
veterinar de familie
veterinar complet
veterinar universal
veterinar generalist
veterinar chirurg
medic veterinar",,released,2024-01-25T10:40:17.572Z,http://data.europa.eu/esco/regulated-professions/regulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Medicii veterinari generaliști sunt profesioniști cu studii științifice de specialitate. Au autoritatea de a efectua, cu titlu independent, etic și responsabil, toate aspectele de medicină veterinară, în interesul sănătății și bunăstării animalelor și al sănătății publice, în conformitate cu legislația națională și internațională. Medicul veterinar generalist poate lucra cu orice specie, dar poate alege să lucreze cu o singură specie sau cu tipuri precum ecvidee, animale de companie sau de producție.",2250.6,http://data.europa.eu/ux2/nace2.1/750
Occupation,http://data.europa.eu/esco/occupation/eb7e42d0-9b3f-49ad-81f1-b9ee8491bf39,2642,jurnalist politic,"reporter
analist politic
corespondent
corespondent afaceri externe
corespondent politic
comentator politic
jurnalist în politică globală
jurnalist în politica SUA
jurnalist în politica UE
jurnalist în politică internațională
reporter politic
jurnalist specializat politică externă",,released,2024-01-26T11:17:07.41Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Jurnaliștii politici studiază și scriu articole despre politică și politicieni pentru ziare, reviste, televiziune și alte mijloace de informare în masă. Realizează interviuri și participă la evenimente.",2642.1.15,"http://data.europa.eu/ux2/nace2.1/5813,
http://data.europa.eu/ux2/nace2.1/9011,
http://data.europa.eu/ux2/nace2.1/5812"
