conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4d97e3c3-f335-47cc-a4ee-0d779fd42222,"gestionează date, informații și conținut digital",released,skill/competence,cross-sector,,"Organizează, stochează și extrage date, informații și conținut în mediile digitale. Le organizează și le prelucrează într-un mediu structurat.",http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a | http://data.europa.eu/esco/skill/32c017fd-28ab-4051-bf68-74de952c2f77,procesarea datelor digitale | gestionează informații
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,comunicare și colaborare digitală,released,,,,"Comunică în medii digitale, partajează resurse prin instrumente online, stabilește legături cu alte persoane și colaborează prin intermediul instrumentelor digitale, interacționează cu și participă în comunități și rețele, sensibilizare interculturală.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,utilizează instrumente digitale pentru colaborare și productivitate
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5af49836-2269-46d9-87b9-0d3140c6c22e,integrează și recreează conținut digital,released,skill/competence,cross-sector,integrează și rafinează conținut digital | integrează și modifică conținut digital,"Modifică, perfecționează, îmbunătățește și integrează informații și conținut într-o colecție de cunoștințe existentă pentru a crea conținut și cunoștințe noi, originale și relevante.",http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,creare de conținut digital | utilizează instrumente digitale pentru colaborare și productivitate
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5fd5c985-eaaa-47aa-8314-62359c54505a,dezvoltă conținut digital,released,skill/competence,cross-sector,creează conținut digital,"Creează și editează conținut digital în diferite formate, se exprimă prin mijloace digitale.",http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,creare de conținut digital | utilizează instrumente digitale pentru colaborare și productivitate
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a,procesarea datelor digitale,released,,,procesarea de date electronice,"Identifică, localizează, extrage, stochează, organizează și analizează informații digitale, estimând relevanța și scopul acestora.",http://data.europa.eu/esco/skill/4d6a48ae-352e-4823-bc3a-3f3e9e2cae86,accesează și analizează date digitale
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91,soluționarea problemelor cu instrumente și hardware TIC,released,,,,"Identifică nevoi și resurse digitale, ia decizii în cunoștință de cauză cu privire la cele mai adecvate instrumente digitale în funcție de scop sau necesitate, rezolvă probleme conceptuale prin mijloace digitale, utilizează în mod creativ tehnologii, rezolvă probleme tehnice, actualizează propria competență și cea a celorlalte persoane.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,utilizează instrumente digitale pentru colaborare și productivitate
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a12057b4-6d11-4a12-ab8e-15a028ef0a6d,interacționează prin intermediul tehnologiilor digitale,released,skill/competence,cross-sector,comunică cu ajutorul tehnologiilor digitale,Interacționează prin intermediul unei varietăți de tehnologii digitale și înțelege mijloacele digitale adecvate de comunicare pentru un anumit context.,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,comunicare și colaborare digitală | utilizează instrumente digitale pentru colaborare și productivitate
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a91732ce-988e-4105-9570-f425c6ffdc82,regimul proprietății intelectuale asupra conținutului digital,released,knowledge,cross-sector,,"Dispoziții privind drepturile de autor și licențiere care se aplică datelor, informațiilor și conținutului digital.
	",http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8 | http://data.europa.eu/esco/isced-f/0211,creare de conținut digital | tehnici audiovizuale și producție mediatică
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bc0b0b5d-f6be-405a-b224-b6902a4dbe97,administrează identitatea digitală,released,skill/competence,cross-sector,protejează viața privată și identitatea în mediul online,"Realizează și gestionează una sau mai multe identități digitale, își protejează propria reputație, se ocupă de datele pe care le creează prin intermediul mai multor instrumente, medii și servicii digitale.
	",http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,comunicare și colaborare digitală | Utilizează dispozitivele și aplicațiile digitale
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c4ba12d1-4698-42fa-8abb-789462ea2586,combate impactul negativ al tehnologiilor digitale asupra mediului,released,skill/competence,occupation-specific,protejează mediul de efectele tehnologiilor digitale,Cunoaște impactul asupra mediului al tehnologiilor digitale și al utilizării acestora.,http://data.europa.eu/esco/skill/2aaad52d-599e-4e77-a681-bbc236825821 | http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/8064ae65-5d1b-44e1-9aaf-246a4285a9a6,evaluează impactul comportamentului individual asupra mediului | siguranță TIC | respectă standardele și legislația în materie de protecția mediului
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d1ed5b3a-cab5-4c5d-baf8-0214998b58fb,protejează sănătatea și starea de bine la locul de muncă în cazul utilizării tehnologiilor digitale,released,skill/competence,cross-sector,,"Este în măsură să evite riscurile pentru sănătate și amenințările la adresa bunăstării fizice și psihologice, în cazul utilizării tehnologiilor digitale. Este în măsură să își protejeze propria personală și alte persoane de posibilele pericolele care pot apărea în mediul digital (de exemplu, hărțuirea pe internet). Cunoaște tehnologiile digitale pentru bunăstarea socială și incluziunea socială.",http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/5bcec244-3efe-45ac-8891-0ab4a91e9c48,siguranță TIC | urmează proceduri de siguranță și sănătate
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/df329d70-87b0-466b-a214-3431f36e2a5e,protejează dispozitive TIC,released,skill/competence,cross-sector,,"Protejează dispozitive TIC și conținutul digital și înțelege riscurile și amenințările din mediile digitale. Cunoaște măsurile de siguranță și securitate și ține seama în mod corespunzător de încredere și de viața privată. Utilizează instrumente și metode care să maximizeze securitatea dispozitivelor și informațiilor TIC prin controlul accesului, cum ar fi parolele, semnăturile digitale, biometria și sistemele de protecție precum firewall, antivirus, filtre spam.",http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/185c56ee-098f-46a1-af87-56337085da6f,siguranță TIC | asigură protecția dispozitivelor tic
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e439742d-558d-4f52-885e-afdc740b48cf,"răsfoiește, caută și filtrează date, informații și conținut digital",released,skill/competence,cross-sector,,"Formulează clar nevoile de informare, caută date, informații și conținut în mediile digitale, le accesează și navighează prin acestea. Creează și actualizează strategii de căutare personale.",http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a | http://data.europa.eu/esco/skill/258fea29-09db-4918-8235-0d7d529cd31c,"procesarea datelor digitale | consultă, caută și filtrează date digitale"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8,creare de conținut digital,released,,,,"Creează și editează conținut nou (de la prelucrare de text la imagini și conținut video); integrează și elaborează din nou cunoștințe și conținut anterior; produce expresii creative, conținut mediatic și programare; se ocupă de și depune cereri pentru drepturi și licențe de proprietate intelectuală.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,utilizează instrumente digitale pentru colaborare și productivitate
