conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/49023c69-302f-4671-b26f-7229d1a53915,cadru didactic în învățământul superior în științele comunicării,released,preparator învățământul universitar  în domeniul știinșelor comunicării | profesor de comunicare | lector universitar  în domeniul științelor comunicării | profesor de comunicare în învățământul superior | conferențiar universitar  în domeniul științelor comunicării | lector în comunicare | profesor universitar  în domeniul științelor comunicării | lector în comunicare și media | lector  în științele comunicării | instructor de comunicare | asistent universitar  în domeniul științelor comunicării,"Cadrele didactice în învățământul superior în științele comunicării sunt profesori universitari, conferențiari sau lectori care predau studenților cu diplomă de absolvire a învățământului liceal în propriul domeniu specializat de studiu, științele comunicării, cu caracter predominant academic. Lucrează cu asistenții lor de cercetare în învățământul superior și cu preparatori în învățământul superior pentru a pregăti cursuri și examene, a nota lucrări și examene și a conduce sesiuni de examinare și feedback pentru studenți. De asemenea, efectuează cercetare academică în domeniul lor din științele comunicării, își publică constatările și colaborează cu alți colegi din universitate.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,cadru didactic în învățământul superior
Occupation,http://data.europa.eu/esco/occupation/4b759f0e-8fec-4cf5-80d4-d112a9fd4e51,oceanograf/oceanografă,released,cercetător în oceanografie | specialist în oceanografie | biolog marin | analist oceanografie | oceanografă | geolog marin | chimist marin | specialistă în oceanografie | analist de cercetare în oceanografie | fizician marin | oceanograf,"Oceanografii studiază și cercetează mările și oceanele. Oceanografii se împart în ramuri diferite de cercetare, și anume oceanografie fizică, în care activitatea de cercetare se concentrează asupra valurilor și a mareelor, oceanografie chimică, care se ocupă cu studiul structurii chimice a apelor marine, și oceanografie geologică, în care cercetarea se referă la fundul mărilor și la plăcile lor tectonice.
   ",http://data.europa.eu/esco/occupation/c6196b21-20f9-4608-83fb-6f143afc740d,geolog/geologă
Occupation,http://data.europa.eu/esco/occupation/4e8a5d3e-66de-4661-9927-ef3123cc79e9,cadru didactic în învățământul superior în arhitectură,released,conferențiar universitar  în domeniul arhitecturii | lector în studii de arhitectură | lector în arhitectură | instructor de arhitectură | profesor de studii de arhitectură | profesor de arhitectură | preparator învățământul universitar  în domeniul arhitecturii | profesor universitar de arhitectură | lector universitar  în domeniul arhitecturii | lector în arhitectura | profesor universitar  în domeniul arhitecturii | instructor în arhitectură | asistent universitar  în domeniul arhitecturii,"Cadrele didactice în învățământul superior în arhitectură sunt profesori universitari, conferențiari sau lectori care predau studenților cu diplomă de absolvire a învățământului liceal în propriul domeniu specializat de studiu, arhitectură, cu caracter predominant academic. Lucrează cu asistenții lor de cercetare în învățământul superior și cu preparatori în învățământul superior pentru a pregăti cursuri și examene, a nota lucrări și examene și a conduce sesiuni de examinare și feedback pentru studenți. De asemenea, efectuează cercetare academică în domeniul lor din arhitectură, își publică constatările și colaborează cu alți colegi din universitate.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,cadru didactic în învățământul superior
Occupation,http://data.europa.eu/esco/occupation/4f4d33a1-0b41-4dd9-8a42-aeba5a3974ab,inginer proiectare senzori,released,inginer electrician | inginer electronist | inginer proiectant senzori | expert tehnologie in ingineria senzorilor | consultant in ingineria senzorilor | inginer specialist in senzori | expert in ingineria senzorilor | consultant tehnologie in ingineria senzorilor | inginer sisteme de senzori | inginer senzori electronici | inginer proiectant specialist  în tehnica și tehnologia senzorilor | specialist in ingineria senzorilor | consilier tehnologie in ingineria senzorilor | dezvoltator senzori | inginer senzori | inginer dezvoltare senzori | inginer specialist in tehnologii in ingineria senzorilor | ingineri senzori | inginer în tehnologia senzorilor | inginer in tehnologia senzorilor | consilier in ingineria senzorilor | specialist tehnologie in ingineria senzorilor | proiectant senzori | inginer responsabil tehnic senzori,"Inginerii în proiectare senzori proiectează și dezvoltă senzori, sisteme de senzori și produse care sunt echipate cu senzori. Planifică și monitorizează producția acestor produse.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,inginer electronist
Occupation,http://data.europa.eu/esco/occupation/4f89b0d2-b666-4890-af01-25d1d60da1f3,politolog/politoloagă,released,"analist politic | savant în studii politice | asistent de cercetare în ştiinţele politice | pundit | cercetător în administraţie publică | cercetător în științe politice | politoloagă | analistă politică | cercetător în studii politice | cercetătoare în ştiinţele politice | cercetător în ştiinţele politice | cercetător în ştiinţele politice
cercetătoare în ştiinţele politice | asistentă de cercetare în ştiinţele politice | cercetător politologie | politolog | analist politic
analistă politică | cercetător de război | cercetător pentru pace și conflict | cercetător politic | cercetător pentru pace | savant politic","Politologii studiază comportamentul, activitatea și sistemele politice, inclusiv elementele care intră în sfera lor de aplicare. Studiul domeniului variază de la originile și evoluția diferitelor sisteme politice până la subiecte de actualitate, cum ar fi procesele decizionale, comportamentul politic, tendințele politice, societatea și perspectivele de putere. Oferă consiliere guvernelor și organizațiilor instituționale cu privire la chestiuni legate de guvernanță.",http://data.europa.eu/esco/isco/C2633,"Filozofi, istorici și specialiști în științe politice"
Occupation,http://data.europa.eu/esco/occupation/52ded7d7-11df-42e3-b90a-d7f4b70fb4b9,psiholog/psiholoagă,released,"psiholog școlar | psiholog în specialitatea psihologie clinică | psiholog în specialitatea psihologie judiciară - evaluarea comportamentului simulat prin tehnica poligrafului | psiholog în specialitatea psihoterapie | asistent de cercetare în psihologie | psiholog în specialitatea psihologia muncii și organizațională | expert în psihologia consilierii | psiholog șef laborator | practicant în psihologia consilierii | psiholog în specialitatea psihologia aplicată în servicii | psiholog specialist consiliere | psiholog în specialitatea psihopedagogie specială | cercetător în psihologie | psiholog ocupațional | psiholog expert consilier | psiholog | psiholog sport și exerciții fizice | practicant în psihologia sportului și exercițiului | practicant în psihologia muncii | psihologă | psiholog în specialitatea psihologia transporturilor | psiholog în specialitatea psihologie educațională, consiliere școlară și vocațională | psiholog în specialitatea consiliere psihologică | psiholog în specialitatea psihologie aplicată în domeniul securității naționale | psiholog șef secție","Psihologii examinează comportamentul și procesele psihice la oameni. Oferă servicii clienților care se confruntă cu probleme de sănătate mintală și de viață, cum ar fi decesul, dificultățile în materie de relații amoroase, violența domestică și abuzurile sexuale. Oferă, de asemenea, consiliere pentru aspecte legate de sănătatea mintală, cum ar fi tulburările de alimentație, tulburările de stres posttraumatic și psihoza, pentru a ajuta clienții să se reabiliteze și să ajungă la un comportament sănătos.",http://data.europa.eu/esco/isco/C2634,Psihologi
Occupation,http://data.europa.eu/esco/occupation/55167849-82cf-484e-b818-fa702a4e69e9,hidrolog/hidrologă,released,hidrolog | hidrologă | expert hidrolog | inginer în presiunea porilor | consultant hidrolog | consultant hidrogeolog | analist de cercetare în hidrologie | hidrologi | hidrobiolog | hidrolog suprafeţe | inginer de evaluare a formațiunii | referent de specialitate hidrolog | consultant hidrogeologic | cercetător în domeniul hidrologiei | cercetător științific în domeniul hidrologiei | inginer hidrolog | analist hidrologie | specialist analiză apă,"Hidrologii cercetează și studiază calitatea, provocările actuale și distribuția apei pe Pământ. Studiază alimentarea cu apă de la râuri, fluvii și izvoare pentru a determina utilizarea lor adecvată și durabilă. Împreună cu o echipă transversală de profesioniști, planifică și dezvoltă alimentarea cu apă a orașelor și zonelor urbane, asigurând, în același timp, eficiența și conservarea resurselor.",http://data.europa.eu/esco/occupation/c6196b21-20f9-4608-83fb-6f143afc740d,geolog/geologă
Occupation,http://data.europa.eu/esco/occupation/557f9ccc-4e46-4bb2-8d20-272cd978b152,cercetător științific veterinar,released,,"Cercetătorul științific veterinar dezvoltă și desfășoară activități de cercetare în ceea ce privește modelele animale, compară biologia fundamentală între animale, și transferă rezultatele cercetărilor la diferite specii, inclusiv la om.",http://data.europa.eu/esco/isco/C2250,Medici veterinari
Occupation,http://data.europa.eu/esco/occupation/55a785db-0636-41b8-950f-0b65abe5e81b,cadru didactic în învățământul superior în farmacologie,released,profesor universitar  în domeniul farmacologiei | profesor universitar in domeniul farmacologiei | lector de științe farmaceutice | profesor de farmacologie | profesor universitar de farmacologie | profesor in domeniul farmacologiei | profesor universitar de științe farmaceutice | asistent universitar  în domeniul farmacologiei | lector în farmacie | profesor de stiinte farmaceutice | instructor de farmacologie | lector în științe farmaceutice | lector universitar  în domeniul farmacologiei | lector în farmacologie | preparator învățământul universitar  în domeniul farmacologiei | lector în farmaceutică | conferențiar universitar  în domeniul farmacologiei | profesor de ştiinţe farmaceutice în învăţământul superior,"Cadrele didactice în învățământul superior în farmacologie sunt profesori universitari, conferențiari sau lectori care predau studenților cu diplomă de absolvire a învățământului liceal în propriul domeniu specializat de studiu, farmacologie, cu caracter predominant academic. Lucrează cu asistenții lor de cercetare în învățământul superior și cu preparatori în învățământul superior pentru a pregăti cursuri și examene, a conduce practici de laborator, a nota lucrări și examene și a conduce sesiuni de examinare și feedback pentru studenți. De asemenea, efectuează cercetare academică în domeniul lor din farmacologie, își publică constatările și colaborează cu alți colegi din universitate.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,cadru didactic în învățământul superior
Occupation,http://data.europa.eu/esco/occupation/574f3232-1d07-4034-8cac-c57ddbfff192,chimist analist,released,cercetător în chimie | chimist organic | chimist | chimist analitic | analist cercetător în chimie analitică | analist în chimie analitică | cercetător în științe de chimie analitică | savant în chimie | analist de chimie | om de știință în chimie | analist cercetător în chimie | cercetător în științe chimice | cercetător în chimie organică | cristalograf | analist chimist | analist de cercetare în chimie analitică | cercetător în chimie analiticp | analist chimie analitică | analist chimie | analist chimie organică | analist de cercetare în chimie | cercetător în chimie analitică | analist cercetător în chimie organică,"Chimiștii analiști cercetează și descriu compoziția chimică a substanțelor. În plus, trag concluzii în legătură cu comportamentul acestor substanțe în diferite condiții. Chimiștii analiști joacă un rol important în analizarea relației dintre chimie și mediu, alimente, combustibili și medicină. Utilizează o serie de tehnici, cum ar fi electrocromatografia, cromatografia în fază gazoasă și cromatografia lichidă de înaltă performanță și spectroscopia.
	",http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,chimist/chimistă
Occupation,http://data.europa.eu/esco/occupation/57a12047-4f1e-40ed-add5-9736923f231b,astronom,released,analist cercetător în astronomie | analist astronomie | astrofizician | cercetător în astronomie | cercetător în astrofizică | cercetătoare în astronomie | cercetătoare în astrofizică | astronomă | astrofiziciană,"Astronomii cercetează formarea, structurile, proprietățile și dezvoltarea corpurilor cerești și a materiei interstelare. Utilizează echipamente la sol și echipamente spațiale pentru a aduna date despre spațiu în scopuri de cercetare.",http://data.europa.eu/esco/isco/C2111,Fizicieni și astronomi
Occupation,http://data.europa.eu/esco/occupation/59a02420-91df-4e46-b37b-22e3fd8c11f0,cadru didactic în învățământul superior în fizică,released,profesor de fizică | educator de fizică | lector universitar  în domeniul fizicii | instructor de fizică | asistent universitar  în domeniul fizicii | lector în fizică | doctor în fizică | profesor de fizica | lector specialist în fizică | conferențiar universitar  în domeniul fizicii | profesor universitar  în domeniul fizicii | profesor universitar de fizică | profesor de fizica in invatamantul superior,"Cadrele didactice în învățământul superior în fizică sunt profesori universitari, conferențiari sau lectori care predau studenților cu diplomă de absolvire a învățământului liceal în propriul domeniu specializat de studiu, fizică, cu caracter predominant academic. Lucrează cu asistenții lor de cercetare în învățământul superior și cu preparatori în învățământul superior pentru a pregăti cursuri și examene, a conduce practici de laborator, a nota lucrări și examene și a conduce sesiuni de examinare și feedback pentru studenți. De asemenea, efectuează cercetare academică în domeniul lor din fizică, își publică constatările și colaborează cu alți colegi din universitate.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,cadru didactic în învățământul superior
Occupation,http://data.europa.eu/esco/occupation/5a282a39-5346-454a-b1ef-c1217c50e156,cercetător în științele educației,released,analist de cercetare in stiintele educatiei | analist educațional | pedagog | specialist metode educationale | cercetător educațional | cercetator in stiintele educatiei,"Cercetătorii în științele educației efectuează cercetare în domeniul educației. Activitatea lor vizează extinderea cunoașterii privind modul de funcționare a proceselor educaționale, a sistemelor de învățământ și a persoanelor (profesori și cursanți). Prevăd posibilități de îmbunătățire și elaborează planuri pentru punerea în aplicare a inovațiilor. Consiliază legiuitori și factori de decizie cu privire la aspectele educaționale și oferă asistență în planificarea politicilor educaționale.",http://data.europa.eu/esco/isco/C2351,Specialiști în metodologie didactică
Occupation,http://data.europa.eu/esco/occupation/5ac65daa-0896-4193-9f0e-8b00746b78a1,asistent de cercetare în învățământul superior,released,asistent universitar | lucrător asistent în cercetare in invatamantul superior | expert universitar în tehnologie de cercetare | asistent de cercetare in invatamantul superior | cercetator asistent in invatamant superior | cadru didactic asociat în cercetare in invatamantul superior | cercetător asociat în învăţământul superior | cercetător asistent în învăţământul superior | asistent universitar de cercetare | tehnician de cercetare  in invatamantul superior | cercetător asistent la universitate | tehnolog universitar in cercetare | cercetător asociat la universitate | specialist în tehnologie de cercetare  in invatamantul superior | asistent de cercetare la universitate,"Asistenții de cercetare în învățământul superior efectuează cercetare academică pentru universitatea sau colegiul în care lucrează. Pot ajuta profesorii pe care îi asistă, supraveghetorul, în cercetarea întreprinsă sau dezvolta propria cercetare în domeniul de studiu al profesorului respectiv.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,cadru didactic în învățământul superior
Occupation,http://data.europa.eu/esco/occupation/5fdfa822-c1ba-477e-87cc-3d742e59310d,cadru didactic în învățământul superior în biologie,released,profesor de biologie | lector de biologie | instructor în biologie | lector universitar  în domeniul biologiei | asistent universitar  în domeniul biologiei | cadru didactic în învățământul superior în domeniul științelor biologice | lector universitar  în domeniul științelor biologice | lector în biologie | lector de științe biologice | profesor universitar  în domeniul biologiei | instructor de biologie | profesor universitar  în domeniul științelor biologice | lector în științe biologice | preparator învățământul universitar  în domeniul științelor biologice | preparator învățământul universitar  în domeniul biologiei | conferențiar universitar  în domeniul biologiei | profesor de biologie în învățământul superior | profesor de stiinte biologice | asistent universitar  în domeniul științelor biologice | lector de stiinte biologice | conferențiar universitar  în domeniul științelor biologice | profesor universitar de biologie,"Cadrele didactice în învățământul superior în biologie sunt profesori universitari, conferențiari sau lectori care predau studenților cu diplomă de absolvire a învățământului liceal în propriul domeniu specializat de studiu, biologie. Lucrează cu asistenții lor de cercetare în învățământul superior și cu preparatori în învățământul superior pentru a pregăti cursuri și examene, a conduce practici de laborator, a nota lucrări și examene și a conduce sesiuni de examinare și feedback pentru studenți. De asemenea, efectuează cercetare academică în domeniul lor din biologie, își publică constatările și colaborează cu alți colegi din universitate.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,cadru didactic în învățământul superior
Occupation,http://data.europa.eu/esco/occupation/605e58d6-ad27-4828-b1f5-16707f327fa0,cadru didactic în învățământul superior în științele educației,released,profesor universitar în științele educației | profesor în învățământul superior | lector  în științele educației | instructor stiintele educatiei | lector în științele educației | conferențiar universitar  în domeniul științelor educației | preparator învățământul universitar în domeniul științelor educației | profesor universitar  în domeniul științelor educației | lector în studii educationale | asistent universitar  în domeniul științelor educației | profesor în științele educației | profesor de stiintele educatiei | lector universitar  în domeniul științelor educației,"Cadrele didactice în învățământul superior în științele educației sunt profesori universitari, conferențiari sau lectori care predau studenților cu diplomă de absolvire a învățământului liceal în propriul domeniu specializat de studiu, științele educației, astfel încât studenții să devină, la rândul lor, profesori. Lucrează cu asistenții lor de cercetare în învățământul superior și cu preparatori în învățământul superior pentru a pregăti cursuri și examene, a nota lucrări și examene și a conduce sesiuni de examinare și feedback pentru studenți.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,cadru didactic în învățământul superior
