cod_cor,denumire_ocupatie
212027,cercetător în demografie
261915,cercetător în domeniul științelor juridice
213144,cercetător în domeniul zoologic
214460,cercetător în echipamente de proces
214451,cercetător în echipamente și instalații de bord
213146,cercetător în ecologie și protecția mediului
226909,cercetător în educație fizică și sport
215142,cercetător în electroenergetică
215124,cercetător în electrofizică
215130,cercetător în electromecanică
215223,cercetător în electronică aplicată
215121,cercetător în electrotehnică
215145,cercetător în energetică industrială
263216,cercetător în etnologie
214931,cercetător în exploatări forestiere
214626,cercetător în exploatări miniere
214919,cercetător în filatură-țesătorie
264314,cercetător în filologie
263305,cercetător în filozofie
241301,cercetător în finanțe-bănci
211102,cercetător în fizică
211106,cercetător în fizică tehnologică
211104,cercetător în fizică-chimie
226403,cercetător în fiziokinetoterapie
211434,cercetător în geochimie
211438,cercetător în geodezie
211430,cercetător în geofizică
263212,cercetător în geografie
211426,cercetător în geologie
211436,cercetător în geologie petrolieră
211428,cercetător în geologie tehnică
241303,"cercetător în gestiune, contabilitate, control financiar"
213245,cercetător în horticultură
214917,cercetător în informatică
213148,cercetător în ingineria genetică
214638,cercetător în ingineria proceselor siderurgice
214228,cercetător în instalații
214487,cercetător în instalații și utilaje pentru transportul și depozitarea produselor petroliere
263307,cercetător în istorie
264312,cercetător în lingvistică
214457,cercetător în mașini hidraulice și pneumatice
214454,cercetător în mașini și echipamente termice
214484,cercetător în mașini și instalații mecanice
212015,cercetător în matematică
212019,cercetător în matematică aplicată
212023,cercetător în matematică informatică
212017,cercetător în matematică mecanică
212021,cercetător în matematică-fizică
214463,cercetător în mecanică fină
221109,cercetător în medicina generală
226104,cercetător în medicina stomatologică
223001,cercetător în medicina tradițională
225004,cercetător în medicina veterinară
214641,cercetător în metalurgia neferoasă
211209,cercetător în meteorologie
215127,cercetător în metrologie
213138,cercetător în microbiologie-bacteriologie
215229,cercetător în microelectronică
211432,cercetător în mineralogia tehnică și experimentală
235101,cercetător în pedagogie
213244,cercetător în pedologie-agrochimie
214126,cercetător în pescuit și acvacultură
214527,cercetător în petrochimie și carbochimie
214632,cercetător în petrol (extracție-prospecțiune)
214935,cercetător în prelucrarea lemnului
214647,cercetător în prelucrări plastice și tratamente termice
214629,cercetător în prepararea substanțelor minerale utile
263415,cercetător în psihologie
263417,cercetător în psihopedagogie specială
213251,cercetător în silvicultură
214448,cercetător în sisteme de propulsie
263208,cercetător în sociologie
212025,cercetător în statistică
214650,cercetător în știința materialelor
214231,cercetător în știința și ingineria materialelor oxidice
263309,cercetător în științele politice
214941,"cercetător în tehnologia celulozei, hârtiei, poligrafiei și fibrelor"
214925,"cercetător în tehnologia chimică a produselor textile, pieii, blănurilor și înlocuitorilor"
214530,cercetător în tehnologia compușilor macromoleculari
214466,cercetător în tehnologia construcțiilor de mașini
214123,cercetător în tehnologia prelucrării produselor agricole
214521,cercetător în tehnologia substanțelor anorganice
214524,cercetător în tehnologia substanțelor organice
214938,cercetător în tehnologie și echipamente neconvenționale
214653,cercetător în tehnologii carbochimice
